CONCESIONARIO|CODINTERNO|IDLOCALID|DIRECCION|CAPACIDAD|APROVECHAB|SERIAL|FECVIGDES|FECHAINSTA|LONGITUD|LATITUD|NOVUBICACI|FECHANOVED
Ciudad LÌmpia (ASE03)|24-0114|9|AK 97 No 22L 19|2400|N||2025-11-01 00:00:00||-74.13693066999997|4.677035817000046|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0111|9|KR 96B CON CL 20A ESQUINA|2400|N||2025-11-01 00:00:00||-74.13828798299994|4.669331037000063|UC|2021-05-25
Ciudad LÌmpia (ASE03)|24-0304|9|CL 22J No 98 36|2400|N||2025-11-01 00:00:00||-74.13825067599998|4.6772014970000555|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0070|9|AK 97 No 22A 28|2400|N||2025-11-01 00:00:00||-74.13879233499995|4.675490038000021|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0097|9|CL 22L CON KR 96H ESQUINA|2400|N||2025-11-01 00:00:00||-74.13661999999994|4.676120000000026|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0233|9|KR 96G No 22 30|2400|N||2025-11-01 00:00:00||-74.13744217499993|4.673656504000064|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0080|9|AK 97 No 23 18|2400|N||2025-11-01 00:00:00||-74.13661354499999|4.677278701000034|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0306|9|CL 23H No 96F 77|2400|N||2025-11-01 00:00:00||-74.13281458299997|4.677411097000061|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0163|9|KR 96F CON CL 23GBISA ESQUINA|2400|N||2025-11-01 00:00:00||-74.13289014999998|4.676142780000021|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0234|9|CL 22L No 96J 42|2400|N||2025-11-01 00:00:00||-74.13693416699994|4.676557003000028|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0316|9|KR 96K No 23G 64|2400|N||2025-11-01 00:00:00||-74.13403467699999|4.678302038000027|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0314|9|CL 22A No 97 30|2400|N||2025-11-01 00:00:00||-74.13948665499998|4.675873375000037|UC|2024-02-23
Ciudad LÌmpia (ASE03)|24-0277|9|KR 96B No 18 18|2400|N||2025-11-01 00:00:00||-74.13975292799995|4.66833665300004|UC|2020-09-11
